Date,Open,High,Low,Close,Adj Close,Volume,LogRet_AdjClose
2013-12-20,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2013-12-23,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2013-12-24,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2013-12-26,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2013-12-27,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2013-12-30,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2013-12-31,2380.0,2380.0,2380.0,2380.0,2380.0,0,0.0
2014-01-02,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-01-03,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-01-06,2380.0,2380.0,2380.0,2380.0,2380.0,0,0.0
2014-01-07,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-01-08,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-01-09,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-01-10,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-01-13,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-01-14,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-01-15,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-01-16,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-01-17,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-01-21,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-01-22,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-01-23,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-01-24,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-01-27,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-01-28,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-01-29,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-01-30,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-01-31,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-02-03,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-02-04,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-02-05,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-02-06,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-02-07,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-02-10,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-02-11,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-02-12,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-02-13,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-02-14,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-02-18,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-02-19,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-02-20,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-02-21,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-02-24,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-02-25,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-02-26,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-02-27,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-02-28,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-03-03,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-03-04,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-03-05,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-03-06,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-03-07,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-03-10,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-03-11,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-03-12,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-03-13,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-03-14,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-03-17,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-03-18,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-03-19,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-03-20,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-03-21,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-03-24,2380.0,2380.0,2380.0,2380.0,2380.0,0,0.0
2014-03-25,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-03-26,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-03-27,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-03-28,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-03-31,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-04-01,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-04-02,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-04-03,2575.0,532.0,532.0,2380.0,2380.0,2000,0.0
2014-04-04,2575.0,909.0,909.0,909.0,909.0,85440,-0.9625106724880416
2014-04-07,2575.0,909.0,909.0,909.0,909.0,85440,0.0
2014-04-08,2575.0,909.0,909.0,909.0,909.0,85440,0.0
2014-04-09,2575.0,909.0,909.0,909.0,909.0,85440,0.0
2014-04-10,2575.0,909.0,909.0,909.0,909.0,85440,0.0
2014-04-11,2575.0,909.0,909.0,909.0,909.0,85440,0.0
2014-04-14,2575.0,909.0,909.0,909.0,909.0,85440,0.0
2014-04-15,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-04-16,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-04-17,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-04-21,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-04-22,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-04-23,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-04-24,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-04-25,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-04-28,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-04-29,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-04-30,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-05-01,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-05-02,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-05-05,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-05-06,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-05-07,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-05-08,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-05-09,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-05-12,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-05-13,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-05-14,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-05-15,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-05-16,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-05-19,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-05-20,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-05-21,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-05-22,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-05-23,909.0,909.0,909.0,909.0,909.0,1859,0.0
2014-05-27,909.0,909.0,909.0,909.0,909.0,2141,0.0
2014-05-28,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-05-29,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-05-30,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-06-02,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-06-03,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-06-04,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-06-05,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-06-06,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-06-09,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-06-10,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-06-11,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-06-12,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-06-13,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-06-16,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-06-17,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-06-18,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-06-19,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-06-20,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-06-23,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-06-24,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-06-25,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-06-26,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-06-27,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-06-30,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-07-01,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-07-02,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-07-03,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-07-07,909.0,909.0,909.0,909.0,909.0,1668,0.0
2014-07-08,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-07-09,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-07-10,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-07-11,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-07-14,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-07-15,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-07-16,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-07-17,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-07-18,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-07-21,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-07-22,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-07-23,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-07-24,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-07-25,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-07-28,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-07-29,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-07-30,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-07-31,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-08-01,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-08-04,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-08-05,909.0,909.0,909.0,909.0,909.0,3000,0.0
2014-08-06,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-08-07,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-08-08,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-08-11,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-08-12,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-08-13,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-08-14,909.0,909.0,909.0,909.0,909.0,8180,0.0
2014-08-15,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-08-18,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-08-19,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-08-20,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-08-21,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-08-22,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-08-25,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-08-26,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-08-27,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-08-28,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-08-29,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-09-02,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-09-03,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-09-04,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-09-05,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-09-08,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-09-09,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-09-10,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-09-11,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-09-12,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-09-15,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-09-16,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-09-17,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-09-18,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-09-19,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-09-22,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-09-23,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-09-24,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-09-25,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-09-26,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-09-29,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-09-30,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-10-01,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-10-02,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-10-03,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-10-06,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-10-07,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-10-08,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-10-09,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-10-10,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-10-13,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-10-14,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-10-15,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-10-16,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-10-17,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-10-20,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-10-21,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-10-22,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-10-23,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-10-24,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-10-27,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-10-28,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-10-29,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-10-30,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-10-31,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-11-03,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-11-04,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-11-05,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-11-06,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-11-07,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-11-10,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-11-11,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-11-12,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-11-13,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-11-14,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-11-17,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-11-18,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-11-19,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-11-20,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-11-21,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-11-24,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-11-25,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-11-26,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-11-28,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-12-01,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-12-02,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-12-03,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-12-04,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-12-05,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-12-08,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-12-09,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-12-10,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-12-11,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-12-12,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-12-15,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-12-16,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-12-17,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-12-18,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-12-19,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-12-22,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-12-23,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-12-24,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-12-26,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-12-29,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-12-30,909.0,909.0,909.0,909.0,909.0,0,0.0
2014-12-31,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-01-02,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-01-05,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-01-06,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-01-07,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-01-08,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-01-09,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-01-12,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-01-13,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-01-14,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-01-15,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-01-16,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-01-20,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-01-21,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-01-22,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-01-23,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-01-26,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-01-27,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-01-28,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-01-29,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-01-30,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-02-02,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-02-03,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-02-04,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-02-05,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-02-06,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-02-09,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-02-10,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-02-11,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-02-12,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-02-13,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-02-17,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-02-18,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-02-19,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-02-20,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-02-23,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-02-24,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-02-25,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-02-26,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-02-27,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-03-02,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-03-03,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-03-04,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-03-05,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-03-06,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-03-09,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-03-10,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-03-11,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-03-12,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-03-13,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-03-16,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-03-17,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-03-18,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-03-19,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-03-20,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-03-23,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-03-24,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-03-25,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-03-26,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-03-27,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-03-30,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-03-31,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-04-01,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-04-02,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-04-06,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-04-07,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-04-08,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-04-09,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-04-10,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-04-13,909.0,909.0,909.0,909.0,909.0,3000,0.0
2015-04-14,909.0,909.0,909.0,909.0,909.0,3000,0.0
2015-04-15,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-04-16,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-04-17,909.0,909.0,909.0,909.0,909.0,5000,0.0
2015-04-20,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-04-21,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-04-22,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-04-23,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-04-24,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-04-27,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-04-28,909.0,909.0,909.0,909.0,909.0,0,0.0
2015-04-29,841.0,841.0,841.0,841.0,841.0,32675,-0.07775343420453083
2015-04-30,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-05-01,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-05-04,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-05-05,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-05-06,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-05-07,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-05-08,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-05-11,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-05-12,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-05-13,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-05-14,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-05-15,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-05-18,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-05-19,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-05-20,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-05-21,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-05-22,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-05-26,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-05-27,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-05-28,841.0,841.0,841.0,841.0,841.0,2000,0.0
2015-05-29,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-06-01,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-06-02,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-06-03,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-06-04,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-06-05,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-06-08,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-06-09,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-06-10,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-06-11,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-06-12,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-06-15,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-06-16,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-06-17,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-06-18,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-06-19,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-06-22,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-06-23,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-06-24,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-06-25,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-06-26,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-06-29,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-06-30,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-07-01,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-07-02,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-07-06,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-07-07,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-07-08,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-07-09,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-07-10,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-07-13,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-07-14,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-07-15,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-07-16,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-07-17,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-07-20,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-07-21,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-07-22,841.0,841.0,841.0,841.0,841.0,3000,0.0
2015-07-23,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-07-24,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-07-27,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-07-28,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-07-29,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-07-30,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-07-31,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-08-03,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-08-04,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-08-05,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-08-06,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-08-07,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-08-10,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-08-11,841.0,841.0,841.0,841.0,841.0,0,0.0
2015-08-12,841.0,841.0,841.0,841.0,841.0,0,0.0
